date,team,player,status,origin,arrival_date,departure_date,annotation
20251024,Ersan Ilyasova,Jaylen Wells,active,Unknown,20251024,,
20251024,Antonin's Team,Tyus Jones,active,Unknown,20251024,,
20251024,KATs and Dogs,Gradey Dick,active,Unknown,20251024,,
20251024,Tom's Talented Team,VJ Edgecombe,active,Unknown,20251024,,
20251024,Her Majesty’s Ball Handler,Tari Eason,active,Unknown,20251024,,
20251024,Giulia's Great Team,Ben Simmons,active,Unknown,20251024,,
20251024,Bricked I Am,Brice Sensabaugh,active,Unknown,20251024,,
20251024,Marx Madness,Isaiah Stewart,active,Unknown,20251024,,
20251024,Baptiste team,Kyle Kuzma,active,Unknown,20251024,,
20251024,Neon Cobras 99,Davion Mitchell,active,Unknown,20251024,,
20251024,Elie Auquaubeau,Jarrett Allen,active,Unknown,20251024,,
20251024,Alexander's Awesome Team,Kyrie Irving,IR,Unknown,20251024,,
20251024,The Bronsegsuals,Jaime Jaquez Jr.,active,Unknown,20251024,,
20251024,Ersan Ilyasova,Jaylen Wells,active,Unknown,20251024,,
20251024,Antonin's Team,Tyus Jones,active,Unknown,20251024,,
20251024,KATs and Dogs,Gradey Dick,active,Unknown,20251024,,
20251024,Tom's Talented Team,VJ Edgecombe,active,Unknown,20251024,,
20251024,Her Majesty’s Ball Handler,Tari Eason,active,Unknown,20251024,,
20251024,Giulia's Great Team,Ben Simmons,active,Unknown,20251024,,
20251024,Bricked I Am,Brice Sensabaugh,active,Unknown,20251024,,
20251024,Marx Madness,Isaiah Stewart,active,Unknown,20251024,,
20251024,Baptiste team,Kyle Kuzma,active,Unknown,20251024,,
20251024,Neon Cobras 99,Davion Mitchell,active,Unknown,20251024,,
20251024,Elie Auquaubeau,Jarrett Allen,active,Unknown,20251024,,
20251024,Alexander's Awesome Team,Kyrie Irving,IR,Unknown,20251024,,
20251024,The Bronsegsuals,Jaime Jaquez Jr.,active,Unknown,20251024,,
