date,team,stat_name,daily_total,daily_average,stat_rank,prev_day_diff,annotation
20251024,Alexander's Awesome Team,3PM,0.0,0.0,1,0.0,
20251024,Neon Cobras 99,3PM,0.0,0.0,2,0.0,
20251024,Antonin's Team,3PM,0.0,0.0,3,0.0,
20251024,Ersan Ilyasova,3PM,0.0,0.0,4,0.0,
20251024,Her Majesty’s Ball Handler,3PM,0.0,0.0,5,0.0,
20251024,Baptiste team,3PM,0.0,0.0,6,0.0,
20251024,The Bronsegsuals,3PM,0.0,0.0,7,0.0,
20251024,KATs and Dogs,3PM,0.0,0.0,8,0.0,
20251024,Elie Auquaubeau,3PM,0.0,0.0,9,0.0,
20251024,Tom's Talented Team,3PM,0.0,0.0,10,0.0,
20251024,Giulia's Great Team,3PM,0.0,0.0,11,0.0,
20251024,Bricked I Am,3PM,0.0,0.0,12,0.0,
20251024,Marx Madness,3PM,0.0,0.0,13,0.0,
20251024,Alexander's Awesome Team,3PM,17.5,1.3461538461538463,1,17.5,
20251024,Neon Cobras 99,3PM,28.5,2.0357142857142856,2,28.5,
20251024,Antonin's Team,3PM,16.0,1.2307692307692308,3,16.0,
20251024,Ersan Ilyasova,3PM,25.0,1.9230769230769231,4,25.0,
20251024,Her Majesty’s Ball Handler,3PM,17.0,1.3076923076923077,5,17.0,
20251024,Baptiste team,3PM,19.5,1.5,6,19.5,
20251024,The Bronsegsuals,3PM,20.0,1.4285714285714286,7,20.0,
20251024,KATs and Dogs,3PM,28.0,2.1538461538461537,8,28.0,
20251024,Elie Auquaubeau,3PM,19.0,1.3571428571428572,9,19.0,
20251024,Tom's Talented Team,3PM,18.5,1.4230769230769231,10,18.5,
20251024,Giulia's Great Team,3PM,23.0,1.7692307692307692,11,23.0,
20251024,Bricked I Am,3PM,13.5,1.0384615384615385,12,13.5,
20251024,Marx Madness,3PM,9.0,0.6428571428571429,13,9.0,
