date,team,stat_name,daily_total,daily_average,stat_rank,prev_day_diff,annotation
20251024,Alexander's Awesome Team,FG%,0.0,0.0,1,0.0,
20251024,Neon Cobras 99,FG%,0.0,0.0,2,0.0,
20251024,Antonin's Team,FG%,0.0,0.0,3,0.0,
20251024,Ersan Ilyasova,FG%,0.0,0.0,4,0.0,
20251024,Her Majesty’s Ball Handler,FG%,0.0,0.0,5,0.0,
20251024,Baptiste team,FG%,0.0,0.0,6,0.0,
20251024,The Bronsegsuals,FG%,0.0,0.0,7,0.0,
20251024,KATs and Dogs,FG%,0.0,0.0,8,0.0,
20251024,Elie Auquaubeau,FG%,0.0,0.0,9,0.0,
20251024,Tom's Talented Team,FG%,0.0,0.0,10,0.0,
20251024,Giulia's Great Team,FG%,0.0,0.0,11,0.0,
20251024,Bricked I Am,FG%,0.0,0.0,12,0.0,
20251024,Marx Madness,FG%,0.0,0.0,13,0.0,
20251024,Alexander's Awesome Team,FG%,5.62,0.43230769230769234,1,5.62,
20251024,Neon Cobras 99,FG%,5.856,0.41828571428571426,2,5.856,
20251024,Antonin's Team,FG%,4.792,0.3686153846153846,3,4.792,
20251024,Ersan Ilyasova,FG%,6.984000000000001,0.5372307692307693,4,6.984000000000001,
20251024,Her Majesty’s Ball Handler,FG%,5.229,0.4022307692307692,5,5.229,
20251024,Baptiste team,FG%,5.6659999999999995,0.4358461538461538,6,5.6659999999999995,
20251024,The Bronsegsuals,FG%,6.319,0.45135714285714285,7,6.319,
20251024,KATs and Dogs,FG%,6.156999999999998,0.4736153846153845,8,6.156999999999998,
20251024,Elie Auquaubeau,FG%,5.602,0.4001428571428572,9,5.602,
20251024,Tom's Talented Team,FG%,5.0040000000000004,0.384923076923077,10,5.0040000000000004,
20251024,Giulia's Great Team,FG%,5.61,0.43153846153846154,11,5.61,
20251024,Bricked I Am,FG%,4.896000000000001,0.3766153846153847,12,4.896000000000001,
20251024,Marx Madness,FG%,4.707999999999999,0.33628571428571424,13,4.707999999999999,
